2024-09-08 16:23:21,Boston,30\u00baC
2024-09-08 16:23:22,Maryland,24\u00baC
2024-09-08 16:23:23,New York,26\u00baC
2024-09-08 16:23:24,Maryland,22\u00baC
2024-09-08 16:23:25,Seattle,28\u00baC
2024-09-08 16:23:26,New York,20\u00baC
2024-09-08 16:23:27,Los Angeles,27\u00baC
2024-09-08 16:23:28,Maryland,27\u00baC
2024-09-08 16:23:29,New York,24\u00baC
2024-09-08 16:23:30,Seattle,30\u00baC
2024-09-08 16:40:27,New York,22\u00baC
2024-09-08 16:40:28,Pittsburgh,29\u00baC
2024-09-08 16:40:29,Seattle,31\u00baC
2024-09-08 16:40:30,Seattle,21\u00baC
2024-09-08 16:40:31,New York,18\u00baC
2024-09-08 16:40:32,Maryland,32\u00baC
2024-09-08 16:40:33,Los Angeles,20\u00baC
2024-09-08 16:40:34,Seattle,28\u00baC
2024-09-08 16:40:35,Seattle,32\u00baC
2024-09-08 16:40:36,Maryland,21\u00baC
2024-09-08 16:59:32,Pittsburgh,23\u00baC
2024-09-08 16:59:33,Pittsburgh,21\u00baC
2024-09-08 16:59:34,Seattle,21\u00baC
2024-09-08 16:59:35,Boston,31\u00baC
2024-09-08 16:59:36,Boston,27\u00baC
2024-09-08 16:59:56,Los Angeles,26\u00baC
2024-09-08 16:59:57,Pittsburgh,32\u00baC
2024-09-08 16:59:58,New York,23\u00baC
2024-09-08 16:59:59,New York,18\u00baC
2024-09-08 17:00:00,Maryland,32\u00baC
2024-09-08 17:00:01,Pittsburgh,20\u00baC
2024-09-08 17:00:02,Pittsburgh,22\u00baC
2024-09-08 17:00:03,Boston,31\u00baC
2024-09-08 17:00:04,Pittsburgh,20\u00baC
2024-09-08 17:00:05,Boston,25\u00baC
